Groups:
Display4Driver:display4_inst|inputNum =, Display4Driver:display4_inst|inputNum[15], Display4Driver:display4_inst|inputNum[14], Display4Driver:display4_inst|inputNum[13], Display4Driver:display4_inst|inputNum[12], Display4Driver:display4_inst|inputNum[11], Display4Driver:display4_inst|inputNum[10], Display4Driver:display4_inst|inputNum[9], Display4Driver:display4_inst|inputNum[8], Display4Driver:display4_inst|inputNum[7], Display4Driver:display4_inst|inputNum[6], Display4Driver:display4_inst|inputNum[5], Display4Driver:display4_inst|inputNum[4], Display4Driver:display4_inst|inputNum[3], Display4Driver:display4_inst|inputNum[2], Display4Driver:display4_inst|inputNum[1], Display4Driver:display4_inst|inputNum[0],  unsigned decimal

Data:
time unit: s, Display4Driver:display4_inst|inputNum, Display4Driver:display4_inst|inputNum[15], Display4Driver:display4_inst|inputNum[14], Display4Driver:display4_inst|inputNum[13], Display4Driver:display4_inst|inputNum[12], Display4Driver:display4_inst|inputNum[11], Display4Driver:display4_inst|inputNum[10], Display4Driver:display4_inst|inputNum[9], Display4Driver:display4_inst|inputNum[8], Display4Driver:display4_inst|inputNum[7], Display4Driver:display4_inst|inputNum[6], Display4Driver:display4_inst|inputNum[5], Display4Driver:display4_inst|inputNum[4], Display4Driver:display4_inst|inputNum[3], Display4Driver:display4_inst|inputNum[2], Display4Driver:display4_inst|inputNum[1], Display4Driver:display4_inst|inputNum[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 2950, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
2, 2950, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
3, 2950, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
4, 2956, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
5, 2956, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
6, 2956, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
7, 2956, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
8, 2956, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
9, 2962, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
10, 2975, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 
11, 2987, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 
12, 2993, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 
13, 3012, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 
14, 3018, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 
15, 3031, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 
16, 3043, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 
17, 3062, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 
18, 3075, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
19, 3087, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
20, 3093, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 
21, 3118, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 
22, 3125, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 
23, 3137, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 
24, 3162, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
25, 3168, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 
26, 3181, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 
27, 3187, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 
28, 3212, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
29, 3218, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 
30, 3231, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 
31, 3243, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 
32, 3262, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
33, 3268, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
34, 3281, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 
35, 3300, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
36, 3306, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 
37, 3318, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 
38, 3325, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 
39, 3343, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 
40, 3356, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 
41, 3362, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 
